dimension,dimension_value,order_lines,unique_orders,revenue,profit,late_delivery_rate,avg_shipping_days,avg_delay_days,profit_margin
shipping_mode,First Class,27814,10079,5100451.072543172,643121.920739061,0.9532249946070325,2.0,1.0,0.1260911851897031
shipping_mode,Same Day,9737,3571,1745201.527863337,203018.430241898,0.4574304200472425,0.4782787306151792,0.4782787306151792,0.11632950521791885
shipping_mode,Second Class,35216,12778,6416528.535880441,750308.170265433,0.766327805542935,3.9908280327124035,1.9908280327124035,0.116933660634376
shipping_mode,Standard Class,107752,39324,19792221.243929666,2370454.452803965,0.38071683124211153,3.995907268542579,-0.004092731457420744,0.11976697428698109
market,Africa,11614,3854,2061679.392850406,252071.180072451,0.5458928878939211,3.5111933872912005,0.5600137764766661,0.12226497531410362
market,Europe,50252,18561,9769198.321669752,1169442.960997907,0.552077529252567,3.4876223831887287,0.5708429515243174,0.11970715738300476
market,LATAM,51594,17181,9235762.09184122,1123321.611491542,0.5435515757646238,3.508566887622592,0.5578361825018413,0.12162738714154114
market,Pacific Asia,41260,17577,7434262.652838773,857753.441107099,0.5504604944255937,3.5005089675230248,0.5693650024236548,0.11537841493662668
market,USCA,25799,8579,4553499.921016465,564313.780381358,0.5480057366564596,3.4847087096399085,0.5688592581107795,0.12392967830674471
order_region,Canada,959,309,168257.42168705,23900.70995985,0.4880083420229406,3.3315954118873825,0.3910323253388947,0.14204847382188032
order_region,Caribbean,8318,2806,1481668.686214007,171825.640023621,0.5307766289973551,3.507213272421255,0.5465256071170954,0.11596765297286112
order_region,Central Africa,1677,556,292912.56316194,33447.269959689,0.5796064400715564,3.560524746571258,0.6398330351818724,0.11418858105173625
order_region,Central America,28341,9396,5093849.716162856,616341.570650805,0.5475459581525,3.510461875022053,0.5619420627359656,0.12099720348936575
order_region,Central Asia,553,184,97953.69091415,13045.280051435,0.5533453887884268,3.4177215189873418,0.6455696202531646,0.13317803473958256
order_region,East Africa,1852,613,338054.313892092,43167.72992689,0.5593952483801296,3.5145788336933044,0.5707343412526998,0.12769465779001796
order_region,East of USA,6915,2323,1231955.133896532,156263.300193871,0.5566160520607375,3.5009399855386842,0.5848156182212582,0.1268417135448985
order_region,Eastern Asia,7280,3318,1334313.412654495,147368.010614273,0.5432692307692307,3.527335164835165,0.5664835164835165,0.11044482444427936
order_region,Eastern Europe,3920,1292,696307.18776181,79717.049920179,0.5566326530612244,3.500765306122449,0.5798469387755102,0.11448546176353458
order_region,North Africa,3232,1064,572241.966337082,64599.860008929,0.5451732673267327,3.4805074257425743,0.5522896039603961,0.11288906408321009
order_region,Northern Europe,9792,3716,1939362.427052712,233450.600646958,0.5404411764705882,3.5023488562091503,0.546875,0.12037492187663837
order_region,Oceania,10148,4362,1809996.5475716349,201478.02048424399,0.5402049664958612,3.4963539613716987,0.556267244777296,0.11131403579446332
order_region,South America,14935,4979,2660243.6894643568,335154.400817116,0.5430867090726481,3.505724807499163,0.5563441580180783,0.12598635310910172
order_region,South Asia,7731,3335,1397364.573373674,165703.900123919,0.5626697710516104,3.502004915276161,0.5974647522959514,0.11858315523475603
order_region,South of  USA,4045,1345,706904.33791426,88114.879897506,0.557725587144623,3.492707045735476,0.5799752781211372,0.12464894494422159
order_region,Southeast Asia,9539,4356,1738553.436150082,211342.81978621898,0.5552992976202956,3.4966977670615367,0.5582346157878184,0.12156245266422439
order_region,Southern Africa,1157,398,204302.52221758998,30826.050145997,0.533275713050994,3.4468452895419186,0.4788245462402766,0.15088433471793403
order_region,Southern Europe,9431,3543,1837525.817012941,230829.229882964,0.5438447672569187,3.4357968402078254,0.5156399109320327,0.12561958463157655
order_region,US Center,5887,1935,1034129.431505088,131094.229874934,0.5524036011550875,3.4576184813996944,0.5872260913878037,0.12676771966942033
order_region,West Africa,3696,1223,654168.027241702,80030.270030946,0.5284090909090909,3.534090909090909,0.5505952380952381,0.12233901184133603
order_region,West Asia,6009,2022,1056080.992174737,118815.410047009,0.5528374105508405,3.4867698452321516,0.5694791146613413,0.11250596396242123
order_region,West of USA,7993,2667,1412253.596013535,164940.660455197,0.5395971475040661,3.504941824096084,0.5572375828850245,0.11679252290154284
order_region,Western Europe,27109,10010,5296002.889842288,625446.080547806,0.5584861116234461,3.498432254970674,0.5974030764690693,0.11809776043502715
category_name,Accessories,1780,1753,119712.54948536,16643.520073949,0.5696629213483146,3.498314606741573,0.5893258426966292,0.13902903367691108
category_name,As Seen on  TV!,68,68,18519.60993168,714.429979709,0.5735294117647058,3.6323529411764706,0.6617647058823529,0.03857694532144991
category_name,Baby,207,207,10957.40014276,1525.02999227,0.5265700483091788,3.1497584541062804,0.4444444444444444,0.13917808717405009
category_name,Baseball & Softball,632,628,84367.27085249001,12762.130067433,0.5522151898734177,3.4746835443037973,0.5838607594936709,0.15126873180177475
category_name,Basketball,67,64,24705.3296188,1845.670003454,0.5522388059701493,3.462686567164179,0.47761194029850745,0.07470736201185924
category_name,Books,405,405,11303.42003274,883.010007794,0.5654320987654321,3.3901234567901235,0.5333333333333333,0.0781188352937774
category_name,Boxing & MMA,423,421,76286.71994106,8641.370006251,0.5626477541371159,3.4680851063829787,0.6666666666666666,0.1132748925753712
category_name,CDs,271,271,2750.0299979349998,383.849999637,0.5202952029520295,3.4538745387453873,0.4612546125461255,0.13958029546049802
category_name,Cameras,592,592,240496.6790167,30289.799945644998,0.581081081081081,3.3378378378378377,0.6452702702702703,0.12594685327667948
category_name,Camping & Hiking,13729,12299,3700783.6284585,427455.568105731,0.5453419768373516,3.498215456333309,0.5513875737489985,0.11550406914326426
category_name,Cardio Equipment,12487,11355,3320250.69863897,383011.098484708,0.5449667654360535,3.495235044446224,0.5543365099703692,0.11535607797378405
category_name,Children's Clothing,652,652,209268.38055539998,27178.099596873,0.5337423312883436,3.607361963190184,0.5797546012269938,0.12987198316698442
category_name,Cleats,24551,20386,3982856.502617,494636.919790561,0.5497128426540671,3.5065781434564784,0.5769622418638752,0.12419149910762586
category_name,Computers,442,442,595395.0,69656.81017112,0.5067873303167421,3.6153846153846154,0.45475113122171945,0.1169926018376372
category_name,Consumer Electronics,431,431,97937.5598153,13223.399925575,0.5522041763341067,3.4315545243619487,0.6380510440835266,0.13501867874299656
category_name,Crafts,484,484,200704.8703333,25531.17006045,0.5599173553719008,3.5785123966942147,0.6342975206611571,0.12720752624513662
category_name,DVDs,483,483,71319.3796864,6655.430088233999,0.5362318840579711,3.6438923395445135,0.5300207039337475,0.0933186760386691
category_name,Electronics,3156,3061,333327.2607972,40891.379917647,0.5608365019011406,3.494930291508238,0.5719264892268695,0.1226763746230938
category_name,Fishing,17325,15164,6226935.290565399,756220.767189502,0.5492640692640692,3.502049062049062,0.5551515151515152,0.12144349216785227
category_name,Fitness Accessories,309,307,31751.36004609,5258.390016192,0.56957928802589,3.5728155339805827,0.6148867313915858,0.16561148903728742
category_name,Garden,484,484,231765.4602916,33443.010106141,0.5578512396694215,3.4979338842975207,0.5495867768595041,0.14429678203155924
category_name,Girls' Apparel,1201,1191,136206.83021776,17288.569972693,0.5528726061615321,3.507910074937552,0.585345545378851,0.1269288033871208
category_name,Golf Apparel,441,440,31447.4397102,3496.309982897,0.5192743764172335,3.5306122448979593,0.47392290249433106,0.11117947963703287
category_name,Golf Bags & Carts,61,61,9403.7900006,1810.069992479,0.6885245901639344,3.3442622950819674,0.7704918032786885,0.19248302996595096
category_name,Golf Balls,1475,1444,69341.24954266,8342.670023919,0.5457627118644067,3.5084745762711864,0.5477966101694915,0.12031323460340063
category_name,Golf Gloves,1070,1064,104787.400320521,12975.490078118,0.5626168224299065,3.552336448598131,0.6158878504672897,0.12382681542274077
category_name,Golf Shoes,524,523,96506.4699898,12406.070142829,0.5553435114503816,3.467557251908397,0.5782442748091603,0.12855169341641268
category_name,Health and Beauty,362,362,95358.1102879,9493.629974264,0.5580110497237569,3.458563535911602,0.5331491712707183,0.09955765635037599
category_name,Hockey,614,609,43618.36004757,5397.430012878,0.5358306188925082,3.420195439739414,0.46905537459283386,0.12374215827902711
category_name,Hunting & Shooting,440,436,50878.9100799,5979.9999452990005,0.5613636363636364,3.4272727272727272,0.5613636363636364,0.11753396320613073
category_name,Indoor/Outdoor Games,19298,16623,2596454.01613738,318451.430554194,0.5474660586589284,3.495750855010882,0.5647217328220541,0.122648592493827
category_name,Kids' Golf Clubs,384,373,89473.69946238,9045.839895538,0.5338541666666666,3.6328125,0.6197916666666666,0.10110054630457527
category_name,Lacrosse,343,341,35415.92979094,4364.289984193,0.6005830903790087,3.618075801749271,0.6588921282798834,0.12322957522096344
category_name,Men's Clothing,208,208,39365.7099925,2006.039969416,0.5432692307692307,3.423076923076923,0.5144230769230769,0.05095906995703096
category_name,Men's Footwear,22246,18783,2598494.42070502,311902.820213578,0.5448619976625011,3.501258653241032,0.5641913152926369,0.12003213003973007
category_name,Men's Golf Clubs,283,280,42382.78980129,5517.989977266,0.47703180212014135,3.4452296819787986,0.3250883392226148,0.13019411896047603
category_name,Music,434,434,101687.28986620001,14436.31992285,0.5714285714285714,3.4838709677419355,0.5737327188940092,0.1419677910763999
category_name,Pet Supplies,492,492,37318.29984653,3589.259958614,0.5894308943089431,3.388211382113821,0.709349593495935,0.09617962161659793
category_name,Shop By Sport,10984,10136,1177185.6271800501,129813.96031482199,0.5515294974508376,3.4936270939548435,0.5752913328477786,0.11027484308128321
category_name,Soccer,138,136,23909.94973655,3901.949953447,0.5434782608695652,3.710144927536232,0.717391304347826,0.1631935657096876
category_name,Sporting Goods,357,357,105063.6115112,12518.610118848,0.5546218487394958,3.4901960784313726,0.6190476190476191,0.11915267273592142
category_name,Strength Training,111,111,48813.8395335,332.31009052699983,0.5765765765765766,3.7477477477477477,0.6666666666666666,0.006807702358650599
category_name,Tennis & Racquet,328,327,40077.81034646,5747.979996385,0.5579268292682927,3.542682926829268,0.649390243902439,0.14342050992046548
category_name,Toys,529,529,5485.679967799,900.710000356,0.5500945179584121,3.5179584120982987,0.5519848771266541,0.16419295431800202
category_name,Trade-In,974,964,61667.54046302,7915.369984928,0.5564681724845996,3.5698151950718686,0.6314168377823408,0.12835553235132813
category_name,Video Games,838,838,29919.19986883,2717.519996736,0.5429594272076372,3.590692124105012,0.5763723150357996,0.09082863207071017
category_name,Water Sports,15540,13758,2798044.184858,325146.96003752,0.5480694980694981,3.482754182754183,0.5673101673101673,0.1162050841788337
category_name,Women's Apparel,21035,17869,2828708.5,350421.02956735,0.5455669122890421,3.4847159496077964,0.5595436177798907,0.12388021938893667
category_name,Women's Clothing,650,650,126006.9303264,19102.849930084,0.5646153846153846,3.5384615384615383,0.6523076923076923,0.15160158160032344
category_name,Women's Golf Clubs,181,181,39984.38980097,5028.639929453,0.5359116022099447,3.56353591160221,0.5580110497237569,0.12576507868405706
customer_segment,Consumer,93504,34119,17164278.365986284,2073487.671913526,0.5480835044490076,3.497508127994524,0.5649170088980151,0.120802496190138
customer_segment,Corporate,54789,19856,10030649.902761593,1202574.961506601,0.5472266330832831,3.4897880961506873,0.5601854386829473,0.11989003436113481
customer_segment,Home Office,32226,11777,5859474.111468738,690840.34063023,0.5507044001737728,3.5114503816793894,0.5779494817848941,0.11790142382881247
