dimension,dimension_value,unique_orders,revenue,profit,late_delivery_rate,on_time_delivery_rate,cancellation_rate,loss_order_rate,avg_shipping_days,avg_delay_days,profit_margin
shipping_mode,First Class,10079,5100451.072543172,643121.920739061,0.9526738763766247,0.0,0.047326123623375335,0.2045837880742137,2.0,1.0,0.1260911851897031
shipping_mode,Same Day,3571,1745201.527863337,203018.430241898,0.4614953794455335,0.49257910949313916,0.04592551106132736,0.21170540464855783,0.4836180341640997,0.4836180341640997,0.11632950521791885
shipping_mode,Second Class,12778,6416528.535880441,750308.170265433,0.7671779621223979,0.19197057442479262,0.04085146345280952,0.21482235091563626,4.001565190170606,2.0015651901706057,0.116933660634376
shipping_mode,Standard Class,39324,19792221.243929666,2370454.452803965,0.3813192961041603,0.19097752008951277,0.04302715898687824,0.2122368019530058,3.9968975689146578,-0.0031024310853422846,0.11976697428698109
market,Africa,3854,2061679.392850406,252071.180072451,0.5412558380902958,0.18500259470679814,0.042812662169174884,0.20835495588998443,3.4994810586403737,0.5469641930461858,0.12226497531410362
market,Europe,18561,9769198.321669752,1169442.960997907,0.549485480308173,0.17509832444372608,0.0429933732018749,0.21248855126340174,3.496902106567534,0.5662410430472496,0.11970715738300476
market,LATAM,17181,9235762.09184122,1123321.611491542,0.5435655666142832,0.17955881497002502,0.04464233746580525,0.21325883243117397,3.501134974681334,0.5592806006635237,0.12162738714154114
market,Pacific Asia,17577,7434262.652838773,857753.441107099,0.5529953917050692,0.17784604881379074,0.041190191727826134,0.20743016441941173,3.5087330033566593,0.5770609318996416,0.11537841493662668
market,USCA,8579,4553499.921016465,564313.780381358,0.548315654505187,0.1804406107937988,0.04674204452733419,0.21587597622100477,3.4936472782375567,0.5699965030889381,0.12392967830674471
order_region,Canada,309,168257.42168705,23900.70995985,0.49514563106796117,0.17475728155339806,0.05825242718446602,0.18770226537216828,3.3624595469255665,0.4368932038834951,0.14204847382188032
order_region,Caribbean,2806,1481668.686214007,171825.640023621,0.529935851746258,0.1849607982893799,0.04668567355666429,0.21026372059871704,3.490734141126158,0.5409836065573771,0.11596765297286112
order_region,Central Africa,556,292912.56316194,33447.269959689,0.5755395683453237,0.17625899280575538,0.04136690647482014,0.23381294964028776,3.553956834532374,0.6402877697841727,0.11418858105173625
